"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Pseudomonas_aeruginosa_strain1","Pseudomonas_aeruginosa_strain2"
"nqrF","","Na(+)-translocating NADH-quinone reductase subunit F","2","2","1","1","4676","","","","1223","1223","1223","HCGKCINC_03100","PIELJBDO_02051"
"rhaS_1","","HTH-type transcriptional activator RhaS","2","2","1","1","2095","","","","794","794","794","HCGKCINC_00427","PIELJBDO_00441"
"group_5088","","hypothetical protein","2","2","1","1","5814","","","","2279","2279","2279","HCGKCINC_01988","PIELJBDO_03208"
"nqrA","","Na(+)-translocating NADH-quinone reductase subunit A","2","2","1","1","4671","","","","1337","1337","1337","HCGKCINC_03105","PIELJBDO_02046"
"rfaP_2","","Lipopolysaccharide core heptose(I) kinase RfaP","2","2","1","1","896","","","","806","806","806","HCGKCINC_05182","PIELJBDO_05406"
"dadX","","Alanine racemase, catabolic","2","2","1","1","594","","","","1073","1073","1073","HCGKCINC_05482","PIELJBDO_05709"
"group_5092","","Peroxiredoxin","2","2","1","1","4197","","","","638","638","638","HCGKCINC_03573","PIELJBDO_01557"
"group_5093","","hypothetical protein","2","2","1","1","5240","","","","815","815","815","HCGKCINC_02560","PIELJBDO_02647"
"group_5094","","hypothetical protein","2","2","1","1","4596","","","","1079","1079","1079","HCGKCINC_03182","PIELJBDO_01969"
"lysA","","Diaminopimelate decarboxylase","2","2","1","1","619","","","","1247","1247","1247","HCGKCINC_05457","PIELJBDO_05684"
"valS","","Valine--tRNA ligase","2","2","1","1","2425","","","","2852","2852","2852","HCGKCINC_03960","PIELJBDO_01154"
"cysG_1","","Siroheme synthase","2","2","1","1","2189","","","","839","839","839","HCGKCINC_00522","PIELJBDO_00532"
"group_5098","","hypothetical protein","2","2","1","1","3624","","","","1655","1655","1655","HCGKCINC_01536","PIELJBDO_03664"
"group_5099","","hypothetical protein","2","2","1","1","3285","","","","2609","2609","2609","HCGKCINC_01201","PIELJBDO_04007"
"group_51","","hypothetical protein","2","2","1","1","2070","","","","170","170","170","HCGKCINC_00402","PIELJBDO_00416"
"yddE_2","","putative isomerase YddE","2","2","1","1","4916","","","","779","779","779","HCGKCINC_02866","PIELJBDO_02294"
"nhaK","","Sodium, potassium, lithium and rubidium/H(+) antiporter","2","2","1","1","4004","","","","1661","1661","1661","HCGKCINC_03784","PIELJBDO_01363"
"nirS_2","","Nitrite reductase","2","2","1","1","2198","","","","1706","1706","1706","HCGKCINC_00531","PIELJBDO_00541"
"mdtB_1","","Multidrug resistance protein MdtB","2","2","1","1","3564","","","","3110","3110","3110","HCGKCINC_01477","PIELJBDO_03722"
"yycB_2","","putative transporter YycB","2","2","1","1","6131","","","","1274","1274","1274","HCGKCINC_01671","PIELJBDO_03530"
"gltB","","Glutamate synthase [NADPH] large chain","2","2","1","1","869","","","","4445","4445","4445","HCGKCINC_05209","PIELJBDO_05433"
"group_5106","","hypothetical protein","2","2","1","1","2017","","","","803","803","803","HCGKCINC_00349","PIELJBDO_00362"
"mglA","","Galactose/methyl galactoside import ATP-binding protein MglA","2","2","1","1","1800","","","","1571","1571","1571","HCGKCINC_00142","PIELJBDO_00140"
"group_5108","","hypothetical protein","2","2","1","1","3904","","","","2528","2528","2528","HCGKCINC_03884","PIELJBDO_01263"
"group_5109","","hypothetical protein","2","2","1","1","4789","","","","1802","1802","1802","HCGKCINC_02989","PIELJBDO_02163"
"group_5110","","L-lactate transporter","2","2","1","1","5645","","","","1283","1283","1283","HCGKCINC_02156","PIELJBDO_03045"
"yopB","","Protein YopB","2","2","1","1","6047","","","","1172","1172","1172","HCGKCINC_01755","PIELJBDO_03442"
"group_5112","","hypothetical protein","2","2","1","1","3322","","","","533","533","533","HCGKCINC_01237","PIELJBDO_03957"
"dapH","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","2","2","1","1","2446","","","","689","689","689","HCGKCINC_03979","PIELJBDO_01133"
"pctA","","Methyl-accepting chemotaxis protein PctA","2","2","1","1","245","","","","1889","1889","1889","HCGKCINC_04450","PIELJBDO_04565"
"ppk","","Polyphosphate kinase","2","2","1","1","658","","","","2210","2210","2210","HCGKCINC_05421","PIELJBDO_05647"
"pilT_2","","Twitching mobility protein","2","2","1","1","2075","","","","1148","1148","1148","HCGKCINC_00407","PIELJBDO_00421"
"dctB_1","","C4-dicarboxylate transport sensor protein DctB","2","2","1","1","3462","","","","1901","1901","1901","HCGKCINC_01376","PIELJBDO_03816"
"purB_1","","Adenylosuccinate lyase","2","2","1","1","5075","","","","1370","1370","1370","HCGKCINC_02709","PIELJBDO_02453"
"phnL","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL","2","2","1","1","4275","","","","716","716","716","HCGKCINC_03495","PIELJBDO_01634"
"phoR","","Phosphate regulon sensor protein PhoR","2","2","1","1","535","","","","1331","1331","1331","HCGKCINC_05541","PIELJBDO_05767"
"speE_2","","Polyamine aminopropyltransferase","2","2","1","1","6068","","","","860","860","860","HCGKCINC_01734","PIELJBDO_03463"
"group_5122","","hypothetical protein","2","2","1","1","3474","","","","338","338","338","HCGKCINC_01388","PIELJBDO_03804"
"group_5123","","hypothetical protein","2","2","1","1","3898","","","","1256","1256","1256","HCGKCINC_03890","PIELJBDO_01257"
"degS","","Serine endoprotease DegS","2","2","1","1","105","","","","1169","1169","1169","HCGKCINC_04591","PIELJBDO_04705"
"rpoB","","DNA-directed RNA polymerase subunit beta","2","2","1","1","2879","","","","4073","4073","4073","HCGKCINC_04402","PIELJBDO_00710"
"group_5126","","hypothetical protein","2","2","1","1","2690","","","","416","416","416","HCGKCINC_04223","PIELJBDO_00883"
"gcvA_6","","Glycine cleavage system transcriptional activator","2","2","1","1","5345","","","","920","920","920","HCGKCINC_02456","PIELJBDO_02756"
"ywrD","","Glutathione hydrolase-like YwrD proenzyme","2","2","1","1","1827","","","","1616","1616","1616","HCGKCINC_00169","PIELJBDO_00168"
"puuP_2","","Putrescine importer PuuP","2","2","1","1","5698","","","","1370","1370","1370","HCGKCINC_02105","PIELJBDO_03095"
"pdhA","","Pyruvate dehydrogenase E1 component subunit alpha","2","2","1","1","4231","","","","1097","1097","1097","HCGKCINC_03539","PIELJBDO_01590"
"mexB_2","","Multidrug resistance protein MexB","2","2","1","1","3988","","","","3077","3077","3077","HCGKCINC_03800","PIELJBDO_01347"
"bamB","","Outer membrane protein assembly factor BamB","2","2","1","1","2391","","","","1142","1142","1142","HCGKCINC_03925","PIELJBDO_01189"
"mtr_1","","Tryptophan-specific transport protein","2","2","1","1","5824","","","","1232","1232","1232","HCGKCINC_01977","PIELJBDO_03219"
"ssuD_3","","Alkanesulfonate monooxygenase","2","2","1","1","5646","","","","1079","1079","1079","HCGKCINC_02155","PIELJBDO_03046"
"decR","","DNA-binding transcriptional activator DecR","2","2","1","1","5711","","","","473","473","473","HCGKCINC_02092","PIELJBDO_03108"
"group_5136","","hypothetical protein","2","2","1","1","1227","","","","1562","1562","1562","HCGKCINC_04845","PIELJBDO_05066"
"fecA_1","","Fe(3+) dicitrate transport protein FecA","2","2","1","1","2497","","","","2354","2354","2354","HCGKCINC_04030","PIELJBDO_01081"
"group_5138","nicP_8","Porin-like protein NicP","2","2","1","1","5622","","","","1229","1229","1229","HCGKCINC_02178","PIELJBDO_03029"
"uctC","","Acetyl-CoA:oxalate CoA-transferase","2","2","1","1","1532","","","","1202","1202","1202","HCGKCINC_00910","PIELJBDO_04298"
"pucD","","putative xanthine dehydrogenase subunit D","2","2","1","1","3654","","","","2399","2399","2399","HCGKCINC_01565","PIELJBDO_03635"
"trpC","","Indole-3-glycerol phosphate synthase","2","2","1","1","2337","","","","836","836","836","HCGKCINC_00665","PIELJBDO_00673"
"nagK","","Fumarylpyruvate hydrolase","2","2","1","1","5258","","","","698","698","698","HCGKCINC_02542","PIELJBDO_02665"
"group_5143","","hypothetical protein","2","2","1","1","1950","","","","515","515","515","HCGKCINC_00282","PIELJBDO_00295"
"cca","","Multifunctional CCA protein","2","2","1","1","2267","","","","1232","1232","1232","HCGKCINC_00599","PIELJBDO_00610"
"phrB","","Deoxyribodipyrimidine photo-lyase","2","2","1","1","1255","","","","1430","1430","1430","HCGKCINC_04815","PIELJBDO_05036"
"pgrR_5","","HTH-type transcriptional regulator PgrR","2","2","1","1","5682","","","","902","902","902","HCGKCINC_02120","PIELJBDO_03079"
"group_5147","","hypothetical protein","2","2","1","1","5226","","","","1253","1253","1253","HCGKCINC_02574","PIELJBDO_02633"
"ureE","","Urease accessory protein UreE","2","2","1","1","1017","","","","503","503","503","HCGKCINC_05061","PIELJBDO_05285"
"fumC_1","","Fumarate hydratase class II","2","2","1","1","1503","","","","1394","1394","1394","HCGKCINC_00881","PIELJBDO_04327"
"group_5150","","hypothetical protein","2","2","1","1","6133","","","","806","806","806","HCGKCINC_01669","PIELJBDO_03532"
"hpaB_1","","4-hydroxyphenylacetate 3-monooxygenase oxygenase component","2","2","1","1","2688","","","","1562","1562","1562","HCGKCINC_04221","PIELJBDO_00888"
"btuB_4","","Vitamin B12 transporter BtuB","2","2","1","1","5667","","","","2642","2642","2642","HCGKCINC_02134","PIELJBDO_03065"
"group_5153","","hypothetical protein","2","2","1","1","1912","","","","866","866","866","HCGKCINC_00254","PIELJBDO_00245"
"aaeB_3","","p-hydroxybenzoic acid efflux pump subunit AaeB","2","2","1","1","3397","","","","2060","2060","2060","HCGKCINC_01310","PIELJBDO_03882"
"group_5155","","hypothetical protein","2","2","1","1","5495","","","","1988","1988","1988","HCGKCINC_02307","PIELJBDO_02900"
"dapE","","Succinyl-diaminopimelate desuccinylase","2","2","1","1","3284","","","","1151","1151","1151","HCGKCINC_01200","PIELJBDO_04008"
"group_5157","","hypothetical protein","2","2","1","1","3642","","","","2528","2528","2528","HCGKCINC_01553","PIELJBDO_03647"
"yejE_2","","Inner membrane ABC transporter permease protein YejE","2","2","1","1","5678","","","","1016","1016","1016","HCGKCINC_02124","PIELJBDO_03075"
"group_5159","","hypothetical protein","2","2","1","1","298","","","","470","470","470","HCGKCINC_04679","PIELJBDO_04794"
"moeA","","Molybdopterin molybdenumtransferase","2","2","1","1","2510","","","","1223","1223","1223","HCGKCINC_04043","PIELJBDO_01068"
"group_5161","","hypothetical protein","2","2","1","1","5416","","","","503","503","503","HCGKCINC_02386","PIELJBDO_02823"
"brnQ_1","","Branched-chain amino acid transport system 2 carrier protein","2","2","1","1","6167","","","","1313","1313","1313","HCGKCINC_01635","PIELJBDO_03566"
"gspH","","Putative type II secretion system protein H","2","2","1","1","4571","","","","518","518","518","HCGKCINC_03209","PIELJBDO_01941"
"kynU","","Kynureninase","2","2","1","1","5656","","","","1250","1250","1250","HCGKCINC_02145","PIELJBDO_03056"
"group_5165","","hypothetical protein","2","2","1","1","1781","","","","728","728","728","HCGKCINC_00123","PIELJBDO_00121"
"rluA","","Dual-specificity RNA pseudouridine synthase RluA","2","2","1","1","4411","","","","635","635","635","HCGKCINC_03358","PIELJBDO_01775"
"menB_3","","putative enoyl-CoA hydratase","2","2","1","1","4785","","","","794","794","794","HCGKCINC_02993","PIELJBDO_02159"
"surA_3","","Chaperone SurA","2","2","1","1","2922","","","","944","944","944","HCGKCINC_00719","PIELJBDO_04502"
"fabB","","3-oxoacyl-[acyl-carrier-protein] synthase 1","2","2","1","1","6148","","","","1217","1217","1217","HCGKCINC_01654","PIELJBDO_03547"
"group_5170","","hypothetical protein","2","2","1","1","6041","","","","830","830","830","HCGKCINC_01761","PIELJBDO_03436"
"hpaB_2","","4-hydroxyphenylacetate 3-monooxygenase oxygenase component","2","2","1","1","5473","","","","1502","1502","1502","HCGKCINC_02329","PIELJBDO_02878"
"ltaE_1","","Low specificity L-threonine aldolase","2","2","1","1","1552","","","","1004","1004","1004","HCGKCINC_00930","PIELJBDO_04278"
"group_5173","pgrR_7","HTH-type transcriptional regulator PgrR","2","2","1","1","3454","","","","908","908","908","HCGKCINC_01368","PIELJBDO_03824"
"macB_3","","Macrolide export ATP-binding/permease protein MacB","2","2","1","1","1326","","","","1193","1193","1193","HCGKCINC_04744","PIELJBDO_04965"
"glk","","Glucokinase","2","2","1","1","4470","","","","995","995","995","HCGKCINC_03304","PIELJBDO_01851"
"group_5176","","Long-chain-fatty-acid--CoA ligase FadD15","2","2","1","1","6140","","","","1667","1667","1667","HCGKCINC_01662","PIELJBDO_03539"
"group_5177","","hypothetical protein","2","2","1","1","260","","","","464","464","464","HCGKCINC_04435","PIELJBDO_04550"
"group_5178","","hypothetical protein","2","2","1","1","1589","","","","1328","1328","1328","HCGKCINC_00970","PIELJBDO_04238"
"gntR_3","","putative D-xylose utilization operon transcriptional repressor","2","2","1","1","1002","","","","713","713","713","HCGKCINC_05076","PIELJBDO_05300"
"murI","","Glutamate racemase","2","2","1","1","1253","","","","797","797","797","HCGKCINC_04817","PIELJBDO_05038"
"mltB_2","","Membrane-bound lytic murein transglycosylase B","2","2","1","1","107","","","","1103","1103","1103","HCGKCINC_04589","PIELJBDO_04703"
"group_5182","","hypothetical protein","2","2","1","1","2898","","","","959","959","959","HCGKCINC_00695","PIELJBDO_04524"
"group_5183","","hypothetical protein","2","2","1","1","5013","","","","914","914","914","HCGKCINC_02771","PIELJBDO_02391"
"fecR_1","","Protein FecR","2","2","1","1","2149","","","","971","971","971","HCGKCINC_00483","PIELJBDO_00495"
"group_5185","","hypothetical protein","2","2","1","1","5518","","","","959","959","959","HCGKCINC_02284","PIELJBDO_02933"
"group_5186","","hypothetical protein","2","2","1","1","251","","","","1184","1184","1184","HCGKCINC_04444","PIELJBDO_04559"
"group_5187","","hypothetical protein","2","2","1","1","29","","","","2021","2021","2021","HCGKCINC_04666","PIELJBDO_04780"
"group_5188","","hypothetical protein","2","2","1","1","6149","","","","1625","1625","1625","HCGKCINC_01653","PIELJBDO_03548"
"tdh","","L-threonine 3-dehydrogenase","2","2","1","1","5238","","","","1019","1019","1019","HCGKCINC_02562","PIELJBDO_02645"
"stcD","","putative N-methylproline demethylase","2","2","1","1","498","","","","2060","2060","2060","HCGKCINC_05583","PIELJBDO_05809"
"group_5191","","hypothetical protein","2","2","1","1","2321","","","","770","770","770","HCGKCINC_00653","PIELJBDO_00664"
"rhlE_1","","ATP-dependent RNA helicase RhlE","2","2","1","1","2107","","","","1919","1919","1919","HCGKCINC_00439","PIELJBDO_00453"
"caiC","","Crotonobetaine/carnitine--CoA ligase","2","2","1","1","4782","","","","1826","1826","1826","HCGKCINC_02996","PIELJBDO_02156"
"mltG","","Endolytic murein transglycosylase","2","2","1","1","4708","","","","1049","1049","1049","HCGKCINC_03068","PIELJBDO_02083"
"exsC","","Exoenzyme S synthesis protein C","2","2","1","1","6045","","","","437","437","437","HCGKCINC_01757","PIELJBDO_03440"
"opuE","","Osmoregulated proline transporter OpuE","2","2","1","1","3546","","","","1391","1391","1391","HCGKCINC_01459","PIELJBDO_03740"
"ung","","Uracil-DNA glycosylase","2","2","1","1","3067","","","","695","695","695","HCGKCINC_00775","PIELJBDO_04439"
"prlC","","Oligopeptidase A","2","2","1","1","1726","","","","2045","2045","2045","HCGKCINC_00073","PIELJBDO_00069"
"group_5199","","hypothetical protein","2","2","1","1","5069","","","","2018","2018","2018","HCGKCINC_02715","PIELJBDO_02447"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","2","2","1","1","2098","","","","722","722","722","HCGKCINC_00430","PIELJBDO_00444"
"group_5200","","hypothetical protein","2","2","1","1","4544","","","","803","803","803","HCGKCINC_03236","PIELJBDO_01914"
"phnP","","Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","2","2","1","1","4278","","","","770","770","770","HCGKCINC_03492","PIELJBDO_01637"
"group_5202","","hypothetical protein","2","2","1","1","5522","","","","1520","1520","1520","HCGKCINC_02280","PIELJBDO_02937"
"yqcC","","putative protein YqcC","2","2","1","1","1216","","","","329","329","329","HCGKCINC_04861","PIELJBDO_05082"
"ettA","","Energy-dependent translational throttle protein EttA","2","2","1","1","1324","","","","1664","1664","1664","HCGKCINC_04746","PIELJBDO_04967"
"group_5205","","hypothetical protein","2","2","1","1","1952","","","","752","752","752","HCGKCINC_00284","PIELJBDO_00297"
"curA","","NADPH-dependent curcumin reductase","2","2","1","1","5533","","","","1037","1037","1037","HCGKCINC_02270","PIELJBDO_02947"
"yebS","","Intermembrane transport protein YebS","2","2","1","1","1224","","","","656","656","656","HCGKCINC_04848","PIELJBDO_05069"
"mdtJ","","Spermidine export protein MdtJ","2","2","1","1","3672","","","","368","368","368","HCGKCINC_01583","PIELJBDO_03617"
"bamA_1","","Outer membrane protein assembly factor BamA","2","2","1","1","4313","","","","2186","2186","2186","HCGKCINC_03458","PIELJBDO_01675"
"polA","","DNA polymerase I","2","2","1","1","401","","","","2741","2741","2741","HCGKCINC_05680","PIELJBDO_05906"
"group_5211","","hypothetical protein","2","2","1","1","495","","","","773","773","773","HCGKCINC_05586","PIELJBDO_05812"
"group_5212","","hypothetical protein","2","2","1","1","5269","","","","1697","1697","1697","HCGKCINC_02534","PIELJBDO_02673"
"group_5213","","hypothetical protein","2","2","1","1","5340","","","","995","995","995","HCGKCINC_02461","PIELJBDO_02751"
"group_5214","","hypothetical protein","2","2","1","1","696","","","","701","701","701","HCGKCINC_05383","PIELJBDO_05609"
"paaF_2","","2,3-dehydroadipyl-CoA hydratase","2","2","1","1","6128","","","","785","785","785","HCGKCINC_01674","PIELJBDO_03527"
"barA_1","","Signal transduction histidine-protein kinase BarA","2","2","1","1","6146","","","","1955","1955","1955","HCGKCINC_01656","PIELJBDO_03545"
"group_5217","","hypothetical protein","2","2","1","1","3250","","","","587","587","587","HCGKCINC_01166","PIELJBDO_04043"
"tam_8","","Trans-aconitate 2-methyltransferase","2","2","1","1","1112","","","","800","800","800","HCGKCINC_04966","PIELJBDO_05186"
"group_5219","yfcG_3","Disulfide-bond oxidoreductase YfcG","2","2","1","1","6134","","","","662","662","662","HCGKCINC_01668","PIELJBDO_03533"
"lip3","","Lipase 3","2","2","1","1","4722","","","","947","947","947","HCGKCINC_03054","PIELJBDO_02097"
"zipA","","Cell division protein ZipA","2","2","1","1","3659","","","","869","869","869","HCGKCINC_01570","PIELJBDO_03630"
"znuA","","High-affinity zinc uptake system protein ZnuA","2","2","1","1","396","","","","923","923","923","HCGKCINC_05685","PIELJBDO_05911"
"sspA_1","","Stringent starvation protein A ","2","2","1","1","4853","","","","662","662","662","HCGKCINC_02923","PIELJBDO_02228"
"copR","","Transcriptional activator protein CopR","2","2","1","1","4874","","","","680","680","680","HCGKCINC_02909","PIELJBDO_02251"
"group_5225","","hypothetical protein","2","2","1","1","1134","","","","566","566","566","HCGKCINC_04944","PIELJBDO_05165"
"group_5226","","hypothetical protein","2","2","1","1","879","","","","452","452","452","HCGKCINC_05199","PIELJBDO_05423"
"eptC","","Phosphoethanolamine transferase EptC","2","2","1","1","32","","","","1802","1802","1802","HCGKCINC_04663","PIELJBDO_04777"
"fadJ","","Fatty acid oxidation complex subunit alpha","2","2","1","1","6017","","","","2144","2144","2144","HCGKCINC_01785","PIELJBDO_03412"
"group_5229","aaeB_1","p-hydroxybenzoic acid efflux pump subunit AaeB","2","2","1","1","1525","","","","2195","2195","2195","HCGKCINC_00903","PIELJBDO_04305"
"yrfG","","GMP/IMP nucleotidase YrfG","2","2","1","1","725","","","","665","665","665","HCGKCINC_05354","PIELJBDO_05580"
"group_5231","","hypothetical protein","2","2","1","1","3989","","","","680","680","680","HCGKCINC_03799","PIELJBDO_01348"
"mshA_3","","D-inositol-3-phosphate glycosyltransferase","2","2","1","1","901","","","","1136","1136","1136","HCGKCINC_05177","PIELJBDO_05401"
"group_5233","aprA_2","Adenylylsulfate reductase subunit alpha","2","2","1","1","5431","","","","1724","1724","1724","HCGKCINC_02371","PIELJBDO_02838"
"group_5234","","PKHD-type hydroxylase","2","2","1","1","34","","","","728","728","728","HCGKCINC_04661","PIELJBDO_04775"
"group_5235","phnX_2","Phosphonoacetaldehyde hydrolase","2","2","1","1","4880","","","","743","743","743","HCGKCINC_02903","PIELJBDO_02257"
"dmlR_5","","HTH-type transcriptional regulator DmlR","2","2","1","1","1526","","","","944","944","944","HCGKCINC_00904","PIELJBDO_04304"
"group_5237","","hypothetical protein","2","2","1","1","4416","","","","1169","1169","1169","HCGKCINC_03353","PIELJBDO_01780"
"pheC","","Cyclohexadienyl dehydratase","2","2","1","1","4172","","","","806","806","806","HCGKCINC_03598","PIELJBDO_01532"
"yhaJ_4","","HTH-type transcriptional regulator YhaJ","2","2","1","1","917","","","","884","884","884","HCGKCINC_05162","PIELJBDO_05386"
"group_5240","","hypothetical protein","2","2","1","1","5246","","","","1001","1001","1001","HCGKCINC_02554","PIELJBDO_02653"
"yjjV","","putative metal-dependent hydrolase YjjV","2","2","1","1","4100","","","","779","779","779","HCGKCINC_03687","PIELJBDO_01461"
"gltC_4","","HTH-type transcriptional regulator GltC","2","2","1","1","5742","","","","920","920","920","HCGKCINC_02061","PIELJBDO_03138"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase","2","2","1","1","1358","","","","938","938","938","HCGKCINC_04711","PIELJBDO_04932"
"folM","","Dihydromonapterin reductase","2","2","1","1","4211","","","","704","704","704","HCGKCINC_03559","PIELJBDO_01571"
"pcaK_1","","4-hydroxybenzoate transporter PcaK","2","2","1","1","1899","","","","1346","1346","1346","HCGKCINC_00241","PIELJBDO_00232"
"group_5246","","hypothetical protein","2","2","1","1","4610","","","","989","989","989","HCGKCINC_03166","PIELJBDO_01983"
"apxIB_1","","Toxin RTX-I translocation ATP-binding protein","2","2","1","1","5869","","","","2171","2171","2171","HCGKCINC_01935","PIELJBDO_03261"
"tusE","","Sulfurtransferase TusE","2","2","1","1","5096","","","","335","335","335","HCGKCINC_02688","PIELJBDO_02474"
"rcsC_13","","Sensor histidine kinase RcsC","2","2","1","1","261","","","","2768","2768","2768","HCGKCINC_04434","PIELJBDO_04549"
"group_5250","","hypothetical protein","2","2","1","1","5750","","","","1826","1826","1826","HCGKCINC_02053","PIELJBDO_03146"
"group_5251","","hypothetical protein","2","2","1","1","1577","","","","425","425","425","HCGKCINC_00958","PIELJBDO_04250"
"zraR_2","","Transcriptional regulatory protein ZraR","2","2","1","1","6093","","","","1511","1511","1511","HCGKCINC_01709","PIELJBDO_03488"
"group_5253","","hypothetical protein","2","2","1","1","5319","","","","917","917","917","HCGKCINC_02482","PIELJBDO_02730"
"vgrG1_1","","Actin cross-linking toxin VgrG1","2","2","1","1","1751","","","","1940","1940","1940","HCGKCINC_00097","PIELJBDO_00094"
"gloA_1","","Lactoylglutathione lyase","2","2","1","1","4140","","","","386","386","386","HCGKCINC_03647","PIELJBDO_01501"
"group_5256","","hypothetical protein","2","2","1","1","5989","","","","1190","1190","1190","HCGKCINC_01813","PIELJBDO_03384"
"yhdW","","Putative amino-acid ABC transporter-binding protein YhdW","2","2","1","1","2451","","","","1025","1025","1025","HCGKCINC_03984","PIELJBDO_01128"
"rkpK_2","","UDP-glucose 6-dehydrogenase","2","2","1","1","4105","","","","1394","1394","1394","HCGKCINC_03682","PIELJBDO_01466"
"opgH","","Glucans biosynthesis glucosyltransferase H","2","2","1","1","828","","","","2585","2585","2585","HCGKCINC_05250","PIELJBDO_05474"
"tatC","","Sec-independent protein translocase protein TatC","2","2","1","1","835","","","","803","803","803","HCGKCINC_05243","PIELJBDO_05467"
"betI_2","","HTH-type transcriptional regulator BetI","2","2","1","1","922","","","","647","647","647","HCGKCINC_05157","PIELJBDO_05381"
"prpC_1","","Protein phosphatase PrpC","2","2","1","1","1734","","","","728","728","728","HCGKCINC_00081","PIELJBDO_00077"
"hcnC","","Hydrogen cyanide synthase subunit HcnC","2","2","1","1","5535","","","","1253","1253","1253","HCGKCINC_02268","PIELJBDO_02949"
"hmuU_1","","Hemin transport system permease protein HmuU","2","2","1","1","4761","","","","1031","1031","1031","HCGKCINC_03017","PIELJBDO_02135"
"group_5267","","hypothetical protein","2","2","1","1","4580","","","","1403","1403","1403","HCGKCINC_03197","PIELJBDO_01953"
"lpoA","","Penicillin-binding protein activator LpoA","2","2","1","1","128","","","","1814","1814","1814","HCGKCINC_04568","PIELJBDO_04682"
"argP_5","","HTH-type transcriptional regulator ArgP","2","2","1","1","189","","","","896","902","899","HCGKCINC_04507","PIELJBDO_04621"
"cmpD","","Bicarbonate transport ATP-binding protein CmpD","2","2","1","1","5421","","","","848","848","848","HCGKCINC_02381","PIELJBDO_02828"
"group_5271","alkJ_1","Alcohol dehydrogenase [acceptor]","2","2","1","1","3954","","","","1673","1673","1673","HCGKCINC_03834","PIELJBDO_01313"
"dgcE","","putative diguanylate cyclase DgcE","2","2","1","1","3303","","","","3362","3362","3362","HCGKCINC_01219","PIELJBDO_03989"
"group_5273","","hypothetical protein","2","2","1","1","4364","","","","1340","1340","1340","HCGKCINC_03407","PIELJBDO_01726"
"ppsC","","Phthiocerol synthesis polyketide synthase type I PpsC","2","2","1","1","3261","","","","1016","1016","1016","HCGKCINC_01177","PIELJBDO_04032"
"fdoH","","Formate dehydrogenase-O iron-sulfur subunit","2","2","1","1","1101","","","","929","929","929","HCGKCINC_04978","PIELJBDO_05200"
"oppF","","Oligopeptide transport ATP-binding protein OppF","2","2","1","1","43","","","","971","971","971","HCGKCINC_04652","PIELJBDO_04766"
"gcvT_2","","Aminomethyltransferase","2","2","1","1","686","","","","1082","1082","1082","HCGKCINC_05393","PIELJBDO_05619"
"lpdV","","Dihydrolipoyl dehydrogenase","2","2","1","1","5479","","","","1394","1394","1394","HCGKCINC_02323","PIELJBDO_02884"
"pimC","","GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase","2","2","1","1","243","","","","1115","1115","1115","HCGKCINC_04452","PIELJBDO_04567"
"group_5280","","hypothetical protein","2","2","1","1","1981","","","","503","503","503","HCGKCINC_00313","PIELJBDO_00326"
"nirS_1","","Nitrite reductase","2","2","1","1","2188","","","","1481","1481","1481","HCGKCINC_00521","PIELJBDO_00531"
"vgb","","Virginiamycin B lyase","2","2","1","1","2146","","","","950","950","950","HCGKCINC_00480","PIELJBDO_00492"
"amiC_4","","N-acetylmuramoyl-L-alanine amidase AmiC","2","2","1","1","356","","","","1193","1193","1193","HCGKCINC_05725","PIELJBDO_05951"
"group_5284","","hypothetical protein","2","2","1","1","1328","","","","1277","1277","1277","HCGKCINC_04742","PIELJBDO_04963"
"group_5285","","hypothetical protein","2","2","1","1","2108","","","","1070","1070","1070","HCGKCINC_00440","PIELJBDO_00454"
"recO","","DNA repair protein RecO","2","2","1","1","3044","","","","701","701","701","HCGKCINC_00798","PIELJBDO_04416"
"tgpA","","Protein-glutamine gamma-glutamyltransferase","2","2","1","1","4803","","","","2006","2006","2006","HCGKCINC_02976","PIELJBDO_02176"
"pqsH","","2-heptyl-3-hydroxy-4(1H)-quinolone synthase","2","2","1","1","5117","","","","1148","1148","1148","HCGKCINC_02666","PIELJBDO_02496"
"ahpF","","Alkyl hydroperoxide reductase subunit F","2","2","1","1","1804","","","","1565","1565","1565","HCGKCINC_00146","PIELJBDO_00144"
"group_5290","","hypothetical protein","2","2","1","1","2008","","","","467","467","467","HCGKCINC_00340","PIELJBDO_00353"
"group_5291","","hypothetical protein","2","2","1","1","3326","","","","407","407","407","HCGKCINC_01241","PIELJBDO_03953"
"mazG","","Nucleoside triphosphate pyrophosphohydrolase","2","2","1","1","1586","","","","830","830","830","HCGKCINC_00967","PIELJBDO_04241"
"group_5293","","hypothetical protein","2","2","1","1","1886","","","","1058","1058","1058","HCGKCINC_00228","PIELJBDO_00219"
